threshold,precision,recall,f1,fpr,fnr
0.38176680771889737,0.34375,0.9519230769230769,0.5051020408163265,0.8915094339622641,0.04807692307692308
0.38185498531287443,0.34494773519163763,0.9519230769230769,0.5063938618925831,0.8867924528301887,0.04807692307692308
0.3842237364877125,0.34615384615384615,0.9519230769230769,0.5076923076923077,0.8820754716981132,0.04807692307692308
0.3852259323266556,0.3473684210526316,0.9519230769230769,0.5089974293059126,0.8773584905660378,0.04807692307692308
0.38609136011444284,0.3485915492957746,0.9519230769230769,0.5103092783505154,0.8726415094339622,0.04807692307692308
0.3896057470297914,0.3498233215547703,0.9519230769230769,0.5116279069767441,0.8679245283018868,0.04807692307692308
0.3898971738416365,0.35106382978723405,0.9519230769230769,0.5129533678756476,0.8632075471698113,0.04807692307692308
0.39003328799855996,0.35231316725978645,0.9519230769230769,0.5142857142857143,0.8584905660377359,0.04807692307692308
0.3903358529040428,0.3535714285714286,0.9519230769230769,0.515625,0.8537735849056604,0.04807692307692308
0.39290773319344496,0.3548387096774194,0.9519230769230769,0.5169712793733682,0.8490566037735849,0.04807692307692308
0.3933182881403912,0.35251798561151076,0.9423076923076923,0.5130890052356021,0.8490566037735849,0.057692307692307696
0.3937815946086622,0.35379061371841153,0.9423076923076923,0.5144356955380578,0.8443396226415094,0.057692307692307696
0.39704096156916335,0.35507246376811596,0.9423076923076923,0.5157894736842106,0.839622641509434,0.057692307692307696
0.39725499618154064,0.3563636363636364,0.9423076923076923,0.5171503957783641,0.8349056603773585,0.057692307692307696
0.3982129984609596,0.35766423357664234,0.9423076923076923,0.5185185185185185,0.8301886792452831,0.057692307692307696
0.39885524259915794,0.358974358974359,0.9423076923076923,0.519893899204244,0.8254716981132075,0.057692307692307696
0.39904388315399825,0.35661764705882354,0.9326923076923077,0.5159574468085106,0.8254716981132075,0.0673076923076923
0.3992452796836537,0.35424354243542433,0.9230769230769231,0.512,0.8254716981132075,0.07692307692307693
0.4000024327212163,0.35555555555555557,0.9230769230769231,0.5133689839572193,0.8207547169811321,0.07692307692307693
0.400183283507718,0.35687732342007433,0.9230769230769231,0.5147453083109919,0.8160377358490566,0.07692307692307693
0.4005829388967035,0.3582089552238806,0.9230769230769231,0.5161290322580645,0.8113207547169812,0.07692307692307693
0.4011077421129861,0.35580524344569286,0.9134615384615384,0.5121293800539083,0.8113207547169812,0.08653846153846154
0.40207468255194884,0.3533834586466165,0.9038461538461539,0.5081081081081081,0.8113207547169812,0.09615384615384616
0.4022411685864956,0.35471698113207545,0.9038461538461539,0.5094850948509484,0.8066037735849056,0.09615384615384616
0.402422198218096,0.3522727272727273,0.8942307692307693,0.5054347826086957,0.8066037735849056,0.10576923076923077
0.4042321918734151,0.35361216730038025,0.8942307692307693,0.5068119891008175,0.8018867924528302,0.10576923076923077
0.4047086606537445,0.3511450381679389,0.8846153846153846,0.5027322404371585,0.8018867924528302,0.11538461538461539
0.4071178461136486,0.3524904214559387,0.8846153846153846,0.5041095890410959,0.7971698113207547,0.11538461538461539
0.4074435508697139,0.35,0.875,0.4999999999999999,0.7971698113207547,0.125
0.4081020686033967,0.3474903474903475,0.8653846153846154,0.4958677685950414,0.7971698113207547,0.1346153846153846
0.40882057386105747,0.3488372093023256,0.8653846153846154,0.4972375690607735,0.7924528301886793,0.1346153846153846
0.4115311893213343,0.35019455252918286,0.8653846153846154,0.49861495844875336,0.7877358490566038,0.1346153846153846
0.411548784325318,0.3515625,0.8653846153846154,0.5,0.7830188679245284,0.1346153846153846
0.4116038264695657,0.35294117647058826,0.8653846153846154,0.5013927576601671,0.7783018867924528,0.1346153846153846
0.4125724437179967,0.3543307086614173,0.8653846153846154,0.5027932960893854,0.7735849056603774,0.1346153846153846
0.41477830553820105,0.3557312252964427,0.8653846153846154,0.5042016806722689,0.7688679245283019,0.1346153846153846
0.4155378013308564,0.35714285714285715,0.8653846153846154,0.5056179775280899,0.7641509433962265,0.1346153846153846
0.41672841726136717,0.35856573705179284,0.8653846153846154,0.5070422535211268,0.7594339622641509,0.1346153846153846
0.41807912309865675,0.36,0.8653846153846154,0.5084745762711865,0.7547169811320755,0.1346153846153846
0.41877784083062586,0.357429718875502,0.8557692307692307,0.5042492917847026,0.7547169811320755,0.14423076923076922
0.42058536316192885,0.3588709677419355,0.8557692307692307,0.5056818181818181,0.75,0.14423076923076922
0.42072177757289486,0.3603238866396761,0.8557692307692307,0.5071225071225072,0.7452830188679245,0.14423076923076922
0.42076610604021364,0.3617886178861789,0.8557692307692307,0.5085714285714285,0.7405660377358491,0.14423076923076922
0.42111195249112926,0.363265306122449,0.8557692307692307,0.510028653295129,0.7358490566037735,0.14423076923076922
0.4220043614449187,0.36475409836065575,0.8557692307692307,0.5114942528735632,0.7311320754716981,0.14423076923076922
0.42314710506454223,0.3662551440329218,0.8557692307692307,0.5129682997118156,0.7264150943396226,0.14423076923076922
0.4234476158957212,0.3677685950413223,0.8557692307692307,0.5144508670520231,0.7216981132075472,0.14423076923076922
0.42381250508842966,0.36929460580912865,0.8557692307692307,0.5159420289855072,0.7169811320754716,0.14423076923076922
0.42415014518863414,0.37083333333333335,0.8557692307692307,0.5174418604651163,0.7122641509433962,0.14423076923076922
